Tue Jun 17 08:49:09 UTC 2025 Starting master on 4fdf0e11b739
core file size          (blocks, -c) 0
2025-06-17T08:49:15,950 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2025-06-17T08:49:16,003 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=master:16000 connecting to ZooKeeper ensemble=atlas-zk:2181
2025-06-17T08:49:16,033 INFO  [main] zookeeper.ZooKeeper: Client environment:zookeeper.version=3.5.7-f0fdd52973d373ffd9c86b81d99842dc2c7f660e, built on 02/10/2020 11:30 GMT
2025-06-17T08:49:16,035 INFO  [main] zookeeper.ZooKeeper: Client environment:host.name=4fdf0e11b739
2025-06-17T08:49:16,037 INFO  [main] zookeeper.ZooKeeper: Client environment:java.version=11.0.27
2025-06-17T08:49:16,040 INFO  [main] zookeeper.ZooKeeper: Client environment:java.vendor=Ubuntu
2025-06-17T08:49:16,042 INFO  [main] zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-11-openjdk-amd64
2025-06-17T08:49:16,044 INFO  [main] zookeeper.ZooKeeper: stence.core-2.7.4.jar:/opt/hbase/lib/jdk11/org.eclipse.persistence.moxy-2.7.4.jar:/opt/hbase/lib/jdk11/org.eclipse.persistence.sdo-2.7.4.jar:/opt/hbase/lib/jdk11/pfl-asm-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-basic-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-basic-tools-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-dynamic-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-tf-4.0.1.jar:/opt/hbase/lib/jdk11/pfl-tf-tools-4.0.1.jar:/opt/hbase/lib/jdk11/policy-2.7.6.jar:/opt/hbase/lib/jdk11/release-documentation-2.3.2-docbook.zip:/opt/hbase/lib/jdk11/saaj-impl-1.5.1.jar:/opt/hbase/lib/jdk11/samples-2.3.2.zip:/opt/hbase/lib/jdk11/sdo-eclipselink-plugin-2.3.2.jar:/opt/hbase/lib/jdk11/stax-ex-1.8.1.jar:/opt/hbase/lib/jdk11/streambuffer-1.5.7.jar:/opt/hbase/lib/jdk11/txw2-2.3.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-1.2-api-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-api-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-core-2.17.2.jar:/opt/hbase/lib/client-facing-thirdparty/log4j-slf4j-impl-2.17.2.jar
2025-06-17T08:49:16,044 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=/usr/java/packages/lib:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2025-06-17T08:49:16,045 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2025-06-17T08:49:16,045 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2025-06-17T08:49:16,046 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2025-06-17T08:49:16,046 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2025-06-17T08:49:16,046 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=6.10.14-linuxkit
2025-06-17T08:49:16,046 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=hbase
2025-06-17T08:49:16,046 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/home/hbase
2025-06-17T08:49:16,047 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/
2025-06-17T08:49:16,047 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.free=218MB
2025-06-17T08:49:16,047 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.max=3492MB
2025-06-17T08:49:16,047 INFO  [main] zookeeper.ZooKeeper: Client environment:os.memory.total=274MB
2025-06-17T08:49:16,050 INFO  [main] zookeeper.ZooKeeper: Initiating client connection, connectString=atlas-zk:2181 sessionTimeout=90000 watcher=org.apache.hadoop.hbase.zookeeper.PendingWatcher@4e140497
2025-06-17T08:49:16,061 INFO  [main] common.X509Util: Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation
2025-06-17T08:49:16,073 INFO  [main] zookeeper.ClientCnxnSocket: jute.maxbuffer value is 4194304 Bytes
2025-06-17T08:49:16,081 INFO  [main] zookeeper.ClientCnxn: zookeeper.request.timeout value is 0. feature enabled=
2025-06-17T08:49:16,133 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Opening socket connection to server atlas-zk/172.21.0.5:2181. Will not attempt to authenticate using SASL (unknown error)
2025-06-17T08:49:16,161 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Socket connection established, initiating session, client: /172.21.0.9:44916, server: atlas-zk/172.21.0.5:2181
2025-06-17T08:49:16,248 INFO  [main-SendThread(atlas-zk:2181)] zookeeper.ClientCnxn: Session establishment complete on server atlas-zk/172.21.0.5:2181, sessionid = 0x100003774c50001, negotiated timeout = 40000
2025-06-17T08:49:16,471 INFO  [main] util.log: Logging initialized @6296ms to org.apache.hbase.thirdparty.org.eclipse.jetty.util.log.Slf4jLog
2025-06-17T08:49:16,595 INFO  [main] http.HttpServer: Added global filter 'safety' (class=org.apache.hadoop.hbase.http.HttpServer$QuotingInputFilter)
2025-06-17T08:49:16,596 INFO  [main] http.HttpServer: Added global filter 'clickjackingprevention' (class=org.apache.hadoop.hbase.http.ClickjackingPreventionFilter)
2025-06-17T08:49:16,598 INFO  [main] http.HttpServer: Added global filter 'securityheaders' (class=org.apache.hadoop.hbase.http.SecurityHeadersFilter)
2025-06-17T08:49:16,602 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context master
2025-06-17T08:49:16,604 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context static
2025-06-17T08:49:16,604 INFO  [main] http.HttpServer: Added filter static_user_filter (class=org.apache.hadoop.hbase.http.lib.StaticUserWebFilter$StaticUserFilter) to context logs
2025-06-17T08:49:16,620 INFO  [main] http.HttpServer: ASYNC_PROFILER_HOME environment variable and async.profiler.home system property not specified. Disabling /prof endpoint.
2025-06-17T08:49:16,747 INFO  [main] http.HttpServer: Jetty bound to port 16010
2025-06-17T08:49:16,749 INFO  [main] server.Server: jetty-9.4.46.v20220331; built: 2022-03-31T16:38:08.030Z; git: bc17a0369a11ecf40bb92c839b9ef0a8ac50ea18; jvm 11.0.27+6-post-Ubuntu-0ubuntu120.04
2025-06-17T08:49:16,823 INFO  [main] http.SecurityHeadersFilter: Added security headers filter
2025-06-17T08:49:16,827 INFO  [main] handler.ContextHandler: Started o.a.h.t.o.e.j.s.ServletContextHandler@6cc64028{logs,/logs,file:///opt/hbase/logs/,AVAILABLE}
2025-06-17T08:49:16,829 INFO  [main] http.SecurityHeadersFilter: Added security headers filter
2025-06-17T08:49:16,830 INFO  [main] handler.ContextHandler: Started o.a.h.t.o.e.j.s.ServletContextHandler@26be9a6{static,/static,file:///opt/hbase-2.5.0/hbase-webapps/static/,AVAILABLE}
2025-06-17T08:49:16,986 INFO  [main] webapp.StandardDescriptorProcessor: NO JSP Support for /, did not find org.apache.hbase.thirdparty.org.eclipse.jetty.jsp.JettyJspServlet
2025-06-17T08:49:16,999 INFO  [main] server.session: DefaultSessionIdManager workerName=node0
2025-06-17T08:49:17,000 INFO  [main] server.session: No SessionScavenger set, using defaults
2025-06-17T08:49:17,003 INFO  [main] server.session: node0 Scavenging every 660000ms
2025-06-17T08:49:17,010 INFO  [main] http.SecurityHeadersFilter: Added security headers filter
2025-06-17T08:49:18,209 WARN  [main] internal.Errors: The following warnings have been detected: WARNING: The (sub)resource method getBaseMetrics in org.apache.hadoop.hbase.master.http.api_v1.cluster_metrics.resource.ClusterMetricsResource contains empty path annotation.

2025-06-17T08:49:18,222 INFO  [main] handler.ContextHandler: Started o.a.h.t.o.e.j.w.WebAppContext@3c97f5e9{master,/,file:///opt/hbase-2.5.0/hbase-webapps/master/,AVAILABLE}{file:/opt/hbase-2.5.0/hbase-webapps/master}
2025-06-17T08:49:18,236 INFO  [main] server.AbstractConnector: Started ServerConnector@16d431b4{HTTP/1.1, (http/1.1)}{0.0.0.0:16010}
2025-06-17T08:49:18,237 INFO  [main] server.Server: Started @8063ms
2025-06-17T08:49:18,244 INFO  [main] master.HMaster: hbase.rootdir=hdfs://atlas-hadoop:9000/hbase, hbase.cluster.distributed=true
2025-06-17T08:49:18,290 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.HMaster: Adding backup master ZNode /hbase/backup-masters/4fdf0e11b739,16000,1750150153003
2025-06-17T08:49:18,415 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ActiveMasterManager: Deleting ZNode for /hbase/backup-masters/4fdf0e11b739,16000,1750150153003 from backup master directory
2025-06-17T08:49:18,427 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] master.ActiveMasterManager: Registered as active master=4fdf0e11b739,16000,1750150153003
2025-06-17T08:49:18,434 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.ChunkCreator: Allocating data MemStoreChunkPool with chunk size 2 MB, max count 628, initial count 0
2025-06-17T08:49:18,437 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.ChunkCreator: Allocating index MemStoreChunkPool with chunk size 204.80 KB, max count 698, initial count 0
2025-06-17T08:49:19,386 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] util.FSUtils: Created version file at hdfs://atlas-hadoop:9000/hbase with version=8
2025-06-17T08:49:20,163 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2025-06-17T08:49:20,317 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] region.MasterRegion: Create or load local region for table 'master:store', {TABLE_ATTRIBUTES => {METADATA => {'hbase.store.file-tracker.impl' => 'DEFAULT'}}}, {NAME => 'info', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, {NAME => 'proc', BLOOMFILTER => 'ROW', IN_MEMORY => 'false', VERSIONS => '1', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}, {NAME => 'rs', BLOOMFILTER => 'ROW', IN_MEMORY => 'false', VERSIONS => '1', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}
2025-06-17T08:49:20,322 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] region.MasterRegionFlusherAndCompactor: Injected flushSize=134217728, flushPerChanges=1000000, flushIntervalMs=900000
2025-06-17T08:49:20,349 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] wal.WALFactory: Instantiating WALProvider of type class org.apache.hadoop.hbase.wal.AsyncFSWALProvider
2025-06-17T08:49:20,435 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.HRegion: IBUTES => {METADATA => {'hbase.store.file-tracker.impl' => 'DEFAULT'}}}, {NAME => 'info', BLOOMFILTER => 'ROWCOL', IN_MEMORY => 'true', VERSIONS => '3', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'ROW_INDEX_V1', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '8192 B (8KB)', REPLICATION_SCOPE => '0'}, {NAME => 'proc', BLOOMFILTER => 'ROW', IN_MEMORY => 'false', VERSIONS => '1', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}, {NAME => 'rs', BLOOMFILTER => 'ROW', IN_MEMORY => 'false', VERSIONS => '1', KEEP_DELETED_CELLS => 'FALSE', DATA_BLOCK_ENCODING => 'NONE', COMPRESSION => 'NONE', TTL => 'FOREVER', MIN_VERSIONS => '0', BLOCKCACHE => 'true', BLOCKSIZE => '65536 B (64KB)', REPLICATION_SCOPE => '0'}, under table dir hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store
2025-06-17T08:49:20,483 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] throttle.StoreHotnessProtector: StoreHotnessProtector is disabled. Set hbase.region.store.parallel.put.limit > 0 to enable, which may help mitigate load under heavy write pressure.
2025-06-17T08:49:20,485 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.HRegion: Closing region master:store,,1.1595e783b53d99cd5eef43b6debb2682.
2025-06-17T08:49:20,485 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] regionserver.HRegion: Closed master:store,,1.1595e783b53d99cd5eef43b6debb2682.
2025-06-17T08:49:20,488 WARN  [master/4fdf0e11b739:16000:becomeActiveMaster] region.MasterRegion: failed to clean up initializing flag: hdfs://atlas-hadoop:9000/hbase/MasterData/data/master/store/.initializing
2025-06-17T08:49:20,512 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] monitor.StreamSlowMonitor: New stream slow monitor defaultMonitorName
2025-06-17T08:49:20,539 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] wal.AbstractFSWAL: WAL configuration: blocksize=256 MB, rollsize=128 MB, prefix=4fdf0e11b739%2C16000%2C1750150153003, suffix=, logDir=hdfs://atlas-hadoop:9000/hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003, archiveDir=hdfs://atlas-hadoop:9000/hbase/MasterData/oldWALs, maxLogs=10
2025-06-17T08:49:20,683 INFO  [master/4fdf0e11b739:16000:becomeActiveMaster] wal.AbstractFSWAL: New WAL /hbase/MasterData/WALs/4fdf0e11b739,16000,1750150153003/4fdf0e11b739%2C16000%2C1750150153003.1750150160552
2025-06-17T08:49:20,741 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Created cacheConfig: cacheDataOnRead=true, cacheDataOnWrite=false, cacheIndexesOnWrite=false, cacheBloomsOnWrite=false, cacheEvictOnClose=false, cacheDataCompressed=false, prefetchOnOpen=false, for column family info of region 1595e783b53d99cd5eef43b6debb2682 
2025-06-17T08:49:20,781 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] compactions.CompactionConfiguration: size [minCompactSize:128 MB, maxCompactSize:8.00 EB, offPeakMaxCompactSize:8.00 EB); files [minFilesToCompact:3, maxFilesToCompact:10); ratio 1.200000; off-peak ratio 5.000000; throttle point 2684354560; major period 604800000, major jitter 0.500000, min locality to compact 0.000000; tiered compaction: max_age 9223372036854775807, incoming window min 6, compaction policy for tiered window org.apache.hadoop.hbase.regionserver.compactions.ExploringCompactionPolicy, single output for minor true, compaction window factory org.apache.hadoop.hbase.regionserver.compactions.ExponentialCompactionWindowFactory, region 1595e783b53d99cd5eef43b6debb2682 columnFamilyName info
2025-06-17T08:49:20,786 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] storefiletracker.StoreFileTrackerFactory: instantiating StoreFileTracker impl org.apache.hadoop.hbase.regionserver.storefiletracker.DefaultStoreFileTracker
2025-06-17T08:49:20,796 INFO  [StoreOpener-1595e783b53d99cd5eef43b6debb2682-1] regionserver.HStore: Store=1595e783b53d99cd5eef43b6debb2682/info,  memstore type=DefaultMemStore, storagePolicy=NONE, verifyBulkLoads=false, parallelPutCountPrintThreshold=50, encoding=ROW_INDEX_V1, compression=NONE
